Cell name,Type,Name details,Lineage,Classification
MDL22,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDL23,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDL24,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR01,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR02,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR03,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR04,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR05,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR06,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR07,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MDR08,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR09,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR10,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR11,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR12,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR13,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR14,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR15,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR16,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR17,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR18,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR19,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR20,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR21,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR22,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR23,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MDR24,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL01,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL02,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL03,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL04,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL05,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL06,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL07,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVL08,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL09,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL10,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL11,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL12,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL13,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL14,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL15,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL16,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL17,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL18,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL19,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL20,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL21,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL22,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVL23,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR01,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR02,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR03,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR04,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR05,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR06,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR07,Head muscle,- To be added... - ,Head muscle,- To be added... - ,Body wall muscle
MVR08,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR09,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR10,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR11,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR12,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR13,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR14,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR15,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR16,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR17,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR18,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR19,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR20,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR21,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR22,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR23,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
MVR24,Main body muscle,- To be added... - ,Main body muscle,- To be added... - ,Body wall muscle
pm1,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm3D,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm3VL,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm3VR,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm5D,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm5VR,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm5VL,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm7D,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm7VL,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm7VR,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Odd numbered pharyngeal muscle
pm2D,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm2VL,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm2VR,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm4D,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm4VR,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm4VL,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm4_UNSPECIFIED,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm6D,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm6VR,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm6VL,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
pm8,Pharyngeal muscle,- To be added... - ,Pharyngeal muscle,- To be added... - ,Even numbered pharyngeal muscle
MVULVA,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm1AL,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm1PL,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm1PR,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm1AR,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm2AL,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm2AR,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm2PL,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
vm2PR,Vulval muscle,- To be added... - ,Vulval muscle,- To be added... - ,Vulval muscle
um2AL,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um2AR,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um1AL,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um1AR,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um1PL,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um1PR,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um2PL,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
um2PR,Uterine muscle,- To be added... - ,Uterine muscle,- To be added... - ,Uterine muscle
MANAL,Anal/sphincter muscle,- To be added... - ,Anal/sphincter muscle,- To be added... - ,Sphincter and anal depressor muscle
mu_sph,Anal/sphincter muscle,- To be added... - ,Anal/sphincter muscle,- To be added... - ,Sphincter and anal depressor muscle
mu_anal,Anal/sphincter muscle,- To be added... - ,Anal/sphincter muscle,- To be added... - ,Sphincter and anal depressor muscle
dglL1,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglL2,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglL3,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglL4,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglL5,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglL6,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglL7,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR1,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR2,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR3,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR4,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR5,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR6,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR7,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
dglR8,Diagonal muscle (male specific),- To be added... - ,Diagonal muscle (male specific),- To be added... - ,Diagonal muscles
aobL,Anterior oblique (male specific),- To be added... - ,Anterior oblique (male specific),- To be added... - ,Anterior oblique muscles
aobR,Anterior oblique (male specific),- To be added... - ,Anterior oblique (male specific),- To be added... - ,Anterior oblique muscles
pobL,Posterior oblique (male specific),- To be added... - ,Posterior oblique (male specific),- To be added... - ,Posterior oblique muscles
pobR,Posterior oblique (male specific),- To be added... - ,Posterior oblique (male specific),- To be added... - ,Posterior oblique muscles
gecL,Gubernacular erector (male specific),- To be added... - ,Gubernacular erector (male specific),- To be added... - ,Gubernacular erector muscles
gecR,Gubernacular erector (male specific),- To be added... - ,Gubernacular erector (male specific),- To be added... - ,Gubernacular erector muscles
grtL,Gubernacular retractor (male specific),- To be added... - ,Gubernacular retractor (male specific),- To be added... - ,Gubernacular retractor muscles
grtR,Gubernacular retractor (male specific),- To be added... - ,Gubernacular retractor (male specific),- To be added... - ,Gubernacular retractor muscles
cdlL,Caudal longitudinal muscle (male specific),- To be added... - ,Caudal longitudinal muscle (male specific),- To be added... - ,Caudal inner longitudinal muscles
cdlR,Caudal longitudinal muscle (male specific),- To be added... - ,Caudal longitudinal muscle (male specific),- To be added... - ,Caudal inner longitudinal muscles
ailL,Anterior inner longitudinal muscle (male specific),- To be added... - ,Anterior inner longitudinal muscle (male specific),- To be added... - ,Anterior inner longitudinal muscles
ailR,Anterior inner longitudinal muscle (male specific),- To be added... - ,Anterior inner longitudinal muscle (male specific),- To be added... - ,Anterior inner longitudinal muscles
pilL,Posterior inner longitudinal muscle (male specific),- To be added... - ,Posterior inner longitudinal muscle (male specific),- To be added... - ,Posterior inner longitudinal muscles
pilR,Posterior inner longitudinal muscle (male specific),- To be added... - ,Posterior inner longitudinal muscle (male specific),- To be added... - ,Posterior inner longitudinal muscles
polL,Posterior outer longitudinal muscle (male specific),- To be added... - ,Posterior outer longitudinal muscle (male specific),- To be added... - ,Posterior outer longitudinal muscles
polR,Posterior outer longitudinal muscle (male specific),- To be added... - ,Posterior outer longitudinal muscle (male specific),- To be added... - ,Posterior outer longitudinal muscles
dspL,Dorsal spicule protractor (male specific),- To be added... - ,Dorsal spicule protractor (male specific),- To be added... - ,Spicule protractor muscles
dspR,Dorsal spicule protractor (male specific),- To be added... - ,Dorsal spicule protractor (male specific),- To be added... - ,Spicule protractor muscles
vspL,Ventral spicule protractor (male specific),- To be added... - ,Ventral spicule protractor (male specific),- To be added... - ,Spicule protractor muscles
vspR,Ventral spicule protractor (male specific),- To be added... - ,Ventral spicule protractor (male specific),- To be added... - ,Spicule protractor muscles
dsrL,Dorsal spicule retractor (male specific),- To be added... - ,Dorsal spicule retractor (male specific),- To be added... - ,Spicule retractor muscles
dsrR,Dorsal spicule retractor (male specific),- To be added... - ,Dorsal spicule retractor (male specific),- To be added... - ,Spicule retractor muscles
vsrL,Ventral spicule retractor (male specific),- To be added... - ,Ventral spicule retractor (male specific),- To be added... - ,Spicule retractor muscles
vsrR,Ventral spicule retractor (male specific),- To be added... - ,Ventral spicule retractor (male specific),- To be added... - ,Spicule retractor muscles
mu_intL,Intestinal muscles,- To be added... - ,Intestinal muscles,- To be added... - ,Intestinal muscle
mu_intR,Intestinal muscles,- To be added... - ,Intestinal muscles,- To be added... - ,Intestinal muscle
BWM,Unspecified body wall muscle,- To be added... - ,Unspecified body wall muscle,- To be added... - ,Body wall muscle
GLRDL,GLR cell,- To be added... - ,GLR cell,- To be added... - ,GLR cell
GLRDR,GLR cell,- To be added... - ,GLR cell,- To be added... - ,GLR cell
GLRL,GLR cell,- To be added... - ,GLR cell,- To be added... - ,GLR cell
GLRR,GLR cell,- To be added... - ,GLR cell,- To be added... - ,GLR cell
GLRVL,GLR cell,- To be added... - ,GLR cell,- To be added... - ,GLR cell
GLRVR,GLR cell,- To be added... - ,GLR cell,- To be added... - ,GLR cell
CEPshDL,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid
CEPshDR,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid
CEPshVL,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid
CEPshVR,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid,- To be added... - ,Sheath cell other than amphid sheath and phasmid
mc1DL,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc1DR,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc1V,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc2DL,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc2DR,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc2V,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc3DL,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc3DR,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
mc3V,Marginal cell of the pharynx,- To be added... - ,Marginal cell of the pharynx,- To be added... - ,Marginal cells (mc) of the pharynx
e2DL,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e2DR,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e2D,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e2V,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e2VL,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e2VR,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e3D,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e3VL,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
e3VR,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium,- To be added... - ,Pharyngeal epithelium
g1AL,Pharyngeal glial cell,- To be added... - ,Pharyngeal glial cell,- To be added... - ,Pharyngeal epithelium
g1AR,Pharyngeal glial cell,- To be added... - ,Pharyngeal glial cell,- To be added... - ,Pharyngeal epithelium
g1p,Pharyngeal glial cell,- To be added... - ,Pharyngeal glial cell,- To be added... - ,Pharyngeal epithelium
g1P,Pharyngeal glial cell,- To be added... - ,Pharyngeal glial cell,- To be added... - ,Pharyngeal epithelium
g2L,Pharyngeal glial cell,- To be added... - ,Pharyngeal glial cell,- To be added... - ,Pharyngeal epithelium
g2R,Pharyngeal glial cell,- To be added... - ,Pharyngeal glial cell,- To be added... - ,Pharyngeal epithelium
bm,Pharyngeal basement membrane,- To be added... - ,Pharyngeal basement membrane,- To be added... - ,Basement membrane
exc_cell,Excretory cell,- To be added... - ,Excretory cell,- To be added... - ,Excretory cell
exc_gl,Excretory gland,- To be added... - ,Excretory gland,- To be added... - ,Gland cell
hmc,Head mesodermal cell,- To be added... - ,Head mesodermal cell,- To be added... - ,Head mesodermal cell
hyp,Hypodermis,- To be added... - ,Hypodermis,- To be added... - ,Hypodermis
int,Intestine,- To be added... - ,Intestine,- To be added... - ,Intestinal cells
R1stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R1stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R2stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R2stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R3stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R3stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R4stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R4stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R5stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R5stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R6stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R6stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R7stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R7stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R8stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R8stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R9stL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R9stR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R1shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R1shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R2shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R2shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R3shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R3shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R4shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R4shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R5shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R5shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R6shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R6shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R7shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R7shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R8shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R8shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R9shL,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
R9shR,Male ray structural cell,- To be added... - ,Male ray structural cell,- To be added... - ,Ray structural cell
proctodeum,Proctodeum (male specific),- To be added... - ,Proctodeum (male specific),- To be added... - ,Proctodeum
gonad,Gonad (male specific),- To be added... - ,Gonad (male specific),- To be added... - ,Vas deferens
